State,Year,HPI,UR,Region,pop,subPrimePct
Alabama,2000,203.6,4.5,South,4452,0.122
Alaska,2000,169.7,6.7,West,628,0.046
Arizona,2000,207.2,4,Southwest,5167,0.131
Arkansas,2000,185.6,4.4,South,2679,0.094
California,2000,283.6,4.9,West,34008,0.127
Colorado,2000,279.8,2.8,West,4327,0.107
Connecticut,2000,279,2.2,New England,3413,0.12
Delaware,2000,277.4,3.9,Middle Atlantic,787,0.159
Washington DC,2000,265.9,5.7,South,571,0.117
Florida,2000,213,3.6,South,16050,0.143
Georgia,2000,247.8,3.7,South,8231,0.158
Hawaii,2000,238,4.3,West,1212,0.127
Idaho,2000,204,4.9,West,1300,0.107
Illinois,2000,251.5,4.3,Midwest,12441,0.124
Indiana,2000,211.3,3.2,Midwest,6092,0.145
Iowa,2000,193.4,2.6,Midwest,2929,0.124
Kansas,2000,186.2,3.7,Midwest,2693,0.133
Kentucky,2000,220.3,4.1,South,4049,0.122
Louisiana,2000,163.8,5.4,South,4470,0.14
Maine,2000,297.5,3.5,New England,1277,0.093
Maryland,2000,247.3,3.8,Middle Atlantic,5312,0.13
Massachusetts,2000,440.6,2.6,New England,6363,0.112
Michigan,2000,261.6,3.5,Midwest,9957,0.131
Minnesota,2000,240.3,3.3,Midwest,4934,0.092
Mississippi,2000,181.6,5.6,South,2849,0.139
Missouri,2000,215.3,3.4,South,5607,0.174
Montana,2000,219.9,5,West,904,0.099
Nebraska,2000,204.7,3,Midwest,1713,0.131
Nevada,2000,194.4,4,West,2018,0.148
New Hampshire,2000,295.8,2.8,New England,1241,0.116
New Jersey,2000,295.5,3.7,Middle Atlantic,8434,0.122
New Mexico,2000,203.6,5,Southwest,1822,0.148
New York,2000,361.8,4.6,Middle Atlantic,19000,0.132
North Carolina,2000,242.5,3.6,South,8079,0.168
North Dakota,2000,167.1,3,Midwest,641,0.065
Ohio,2000,223,4,Midwest,11364,0.171
Oklahoma,2000,150.6,3.1,Southwest,3455,0.155
Oregon,2000,255.2,4.9,West,3432,0.126
Pennsylvania,2000,246,4.1,Middle Atlantic,12287,0.154
Rhode Island,2000,299,4.1,New England,1051,0.146
South Carolina,2000,223.1,3.8,South,4024,0.171
South Dakota,2000,202.5,2.3,Midwest,756,0.074
Tennessee,2000,220.7,3.9,South,5703,0.173
Texas,2000,165.8,4.2,Southwest,20952,0.125
Utah,2000,240.7,3.3,West,2243,0.151
Vermont,2000,261.3,2.9,New England,610,0.073
Virginia,2000,239.4,2.2,South,7105,0.12
Washington,2000,278.6,5.2,West,5912,0.117
West Virginia,2000,162.3,5.5,South,1808,0.128
Wisconsin,2000,233.3,3.6,Midwest,5375,0.081
Wyoming,2000,156,3.9,West,494,0.106
Alabama,2001,214.7,5.3,South,,0.082
Alaska,2001,179.2,6.4,West,,0.031
Arizona,2001,220.4,4.7,Southwest,,0.084
Arkansas,2001,195.6,5,South,,0.067
California,2001,314.4,5.4,West,,0.088
Colorado,2001,302,3.7,West,,0.075
Connecticut,2001,305,3.3,New England,,0.087
Delaware,2001,298.4,3.4,Middle Atlantic,,0.11
Washington DC,2001,309.2,6.4,South,,0.052
Florida,2001,235.2,4.8,South,,0.097
Georgia,2001,265.1,4,South,,0.096
Hawaii,2001,257.8,4.6,West,,0.057
Idaho,2001,215.8,5,West,,0.063
Illinois,2001,266.7,5.4,Midwest,,0.065
Indiana,2001,221.3,4.4,Midwest,,0.089
Iowa,2001,203.4,3.3,Midwest,,0.072
Kansas,2001,196.4,4.3,Midwest,,0.084
Kentucky,2001,230.8,5.4,South,,0.083
Louisiana,2001,173,5.9,South,,0.095
Maine,2001,326.7,3.9,New England,,0.076
Maryland,2001,269,4,Middle Atlantic,,0.074
Massachusetts,2001,492,3.7,New England,,0.067
Michigan,2001,275.3,5.3,Midwest,,0.084
Minnesota,2001,264.7,3.7,Midwest,,0.057
Mississippi,2001,190.9,5.5,South,,0.121
Missouri,2001,227.9,4.7,South,,0.094
Montana,2001,230.7,4.6,West,,0.062
Nebraska,2001,213.4,3.1,Midwest,,0.082
Nevada,2001,207.7,5.3,West,,0.098
New Hampshire,2001,329.9,3.5,New England,,0.08
New Jersey,2001,326.5,4.2,Middle Atlantic,,0.082
New Mexico,2001,212.9,4.8,Southwest,,0.096
New York,2001,396.6,4.9,Middle Atlantic,,0.105
North Carolina,2001,254.7,5.5,South,,0.098
North Dakota,2001,175.5,2.9,Midwest,,0.042
Ohio,2001,234.1,4.2,Midwest,,0.106
Oklahoma,2001,159.4,3.8,Southwest,,0.112
Oregon,2001,269.3,6.3,West,,0.074
Pennsylvania,2001,263.1,4.7,Middle Atlantic,,0.103
Rhode Island,2001,335.2,4.7,New England,,0.093
South Carolina,2001,236.5,5.3,South,,0.102
South Dakota,2001,213.2,3.4,Midwest,,0.046
Tennessee,2001,231.8,4.4,South,,0.109
Texas,2001,176.1,4.8,Southwest,,0.117
Utah,2001,250,4.4,West,,0.084
Vermont,2001,281.9,3.6,New England,,0.042
Virginia,2001,260.3,3.4,South,,0.074
Washington,2001,294.5,6.4,West,,0.064
West Virginia,2001,171.8,4.8,South,,0.103
Wisconsin,2001,245.3,4.5,Midwest,,0.037
Wyoming,2001,164.7,3.9,West,,0.074
Alabama,2002,222.1,5.4,South,,0.085
Alaska,2002,188.1,7.1,West,,0.028
Arizona,2002,233.2,6.1,Southwest,,0.098
Arkansas,2002,203.1,5.3,South,,0.061
California,2002,356,6.7,West,,0.108
Colorado,2002,315.5,5.7,West,,0.09
Connecticut,2002,336,4.4,New England,,0.086
Delaware,2002,324.1,4,Middle Atlantic,,0.089
Washington DC,2002,354.4,6.7,South,,0.032
Florida,2002,259.8,5.7,South,,0.111
Georgia,2002,277.2,4.9,South,,0.099
Hawaii,2002,279.5,4.1,West,,0.088
Idaho,2002,223.2,5.4,West,,0.073
